id,name,state_id
1,Mumbai,14
2,Delhi,33
3,Bengaluru,11
4,Ahmedabad,7
5,Hyderabad,24
6,Chennai,23
7,Kolkata,28
8,Pune,14
9,Jaipur,21
10,Surat,7
11,Lucknow,27
12,Kanpur,27
13,Nagpur,14
14,Patna,4
15,Indore,13
16,Thane,14
17,Bhopal,13
18,Visakhapatnam,1
19,Vadodara,7
20,Firozabad,27
21,Ludhiana,20
22,Rajkot,7
23,Agra,27
24,Siliguri,28
25,Nashik,14
26,Faridabad,8
27,Patiala,20
28,Meerut,27
29,Kalyan-Dombivali,14
30,Vasai-Virar,14
31,Varanasi,27
32,Srinagar,34
33,Dhanbad,10
34,Jodhpur,21
35,Amritsar,20
36,Raipur,5
37,Allahabad,27
38,Coimbatore,23
39,Jabalpur,13
40,Gwalior,13
41,Vijayawada,1
42,Madurai,23
43,Guwahati,3
44,Chandigarh,30
45,Hubli-Dharwad,11
46,Amroha,27
47,Moradabad,27
48,Gurgaon,8
49,Aligarh,27
50,Solapur,14
51,Ranchi,10
52,Jalandhar,20
53,Tiruchirappalli,23
54,Bhubaneswar,19
55,Salem,23
56,Warangal,24
57,Mira-Bhayandar,14
58,Thiruvananthapuram,12
59,Bhiwandi,14
60,Saharanpur,27
61,Guntur,1
62,Amravati,14
63,Bikaner,21
64,Noida,27
65,Jamshedpur,10
66,Bhilai Nagar,5
67,Cuttack,19
68,Kochi,12
69,Udaipur,21
70,Bhavnagar,7
71,Dehradun,26
72,Asansol,28
73,Nanded-Waghala,14
74,Ajmer,21
75,Jamnagar,7
76,Ujjain,13
77,Sangli,14
78,Loni,27
79,Jhansi,27
80,Pondicherry,37
81,Nellore,1
82,Jammu,34
83,Belagavi,11
84,Raurkela,19
85,Mangaluru,11
86,Tirunelveli,23
87,Malegaon,14
88,Gaya,4
89,Tiruppur,23
90,Davanagere,11
91,Kozhikode,12
92,Akola,14
93,Kurnool,1
94,Bokaro Steel City,10
95,Rajahmundry,1
96,Ballari,11
97,Agartala,25
98,Bhagalpur,4
99,Latur,14
100,Dhule,14
101,Korba,5
102,Bhilwara,21
103,Brahmapur,19
104,Mysore,11
105,Muzaffarpur,4
106,Ahmednagar,14
107,Kollam,12
108,Raghunathganj,28
109,Bilaspur,5
110,Shahjahanpur,27
111,Thrissur,12
112,Alwar,21
113,Kakinada,1
114,Nizamabad,24
115,Sagar,13
116,Tumkur,11
117,Hisar,8
118,Rohtak,8
119,Panipat,8
120,Darbhanga,4
121,Kharagpur,28
122,Aizawl,17
123,Ichalkaranji,14
124,Tirupati,1
125,Karnal,8
126,Bathinda,20
127,Rampur,27
128,Shivamogga,11
129,Ratlam,13
130,Modinagar,27
131,Durg,5
132,Shillong,16
133,Imphal,15
134,Hapur,27
135,Ranipet,23
136,Anantapur,1
137,Arrah,4
138,Karimnagar,24
139,Parbhani,14
140,Etawah,27
141,Bharatpur,21
142,Begusarai,4
143,New Delhi,33
144,Chhapra,4
145,Kadapa,1
146,Ramagundam,24
147,Pali,21
148,Satna,13
149,Vizianagaram,1
150,Katihar,4
151,Hardwar,26
152,Sonipat,8
153,Nagercoil,23
154,Thanjavur,23
155,Murwara (Katni),13
156,Naihati,28
157,Sambhal,27
158,Nadiad,7
159,Yamunanagar,8
160,English Bazar,28
161,Eluru,1
162,Munger,4
163,Panchkula,8
164,Raayachuru,11
165,Panvel,14
166,Deoghar,10
167,Ongole,1
168,Nandyal,1
169,Morena,13
170,Bhiwani,8
171,Porbandar,7
172,Palakkad,12
173,Anand,7
174,Purnia,4
175,Baharampur,28
176,Barmer,21
177,Morvi,7
178,Orai,27
179,Bahraich,27
180,Sikar,21
181,Vellore,23
182,Singrauli,13
183,Khammam,24
184,Mahesana,7
185,Silchar,3
186,Sambalpur,19
187,Rewa,13
188,Unnao,27
189,Hugli-Chinsurah,28
190,Raiganj,28
191,Phusro,10
192,Adityapur,10
193,Alappuzha,12
194,Bahadurgarh,8
195,Machilipatnam,1
196,Rae Bareli,27
197,Jalpaiguri,28
198,Bharuch,7
199,Pathankot,20
200,Hoshiarpur,20
201,Baramula,34
202,Adoni,1
203,Jind,8
204,Tonk,21
205,Tenali,1
206,Kancheepuram,23
207,Vapi,7
208,Sirsa,8
209,Navsari,7
210,Mahbubnagar,24
211,Puri,19
212,Robertson Pet,11
213,Erode,23
214,Batala,20
215,Haldwani-cum-Kathgodam,26
216,Vidisha,13
217,Saharsa,4
218,Thanesar,8
219,Chittoor,1
220,Veraval,7
221,Lakhimpur,27
222,Sitapur,27
223,Hindupur,1
224,Santipur,28
225,Balurghat,28
226,Ganjbasoda,13
227,Moga,20
228,Proddatur,1
229,Srinagar,34
230,Medinipur,28
231,Habra,28
232,Sasaram,4
233,Hajipur,4
234,Bhuj,7
235,Shivpuri,13
236,Ranaghat,28
237,Shimla,9
238,Tiruvannamalai,23
239,Kaithal,8
240,Rajnandgaon,5
241,Godhra,7
242,Hazaribag,10
243,Bhimavaram,1
244,Mandsaur,13
245,Dibrugarh,3
246,Kolar,11
247,Bankura,28
248,Mandya,11
249,Dehri-on-Sone,4
250,Madanapalle,1
251,Malerkotla,20
252,Lalitpur,27
253,Bettiah,4
254,Pollachi,23
255,Khanna,20
256,Neemuch,13
257,Palwal,8
258,Palanpur,7
259,Guntakal,1
260,Nabadwip,28
261,Udupi,11
262,Jagdalpur,5
263,Motihari,4
264,Pilibhit,27
265,Dimapur,18
266,Mohali,20
267,Sadulpur,21
